	
						Set Values for by yourself
	
	
	<Category> TeddyWeaponPack:Pistols
		TWP_ArexZero,					W,   	600,	0 	// 9x19
		TWP_SR47,					W,		8000,	0	//7.62x39
		TWP_SR47_mag_30Rnd,			M,		2500,	0
		TWP_StenGun,				W,		8000,	0	//9x19
		TWP_StenGun_mag_32Rnd,		M,		2500,	0
		TWP_Sterling,				W,		8000,	0	//9x19
		TWP_Sterling_mag_34Rnd,		M,		2500,	0
		TWP_STG58,					W,		8000,	0	//308.win
		TWP_STG58_mag_20Rnd,		M,		2500,	0
		TWP_Stoner63,				W,		8000,	0	//556x45
		TWP_Stoner63_mag_30Rnd,		M,		2500,	0
		TWP_Tar21,					W,		8000,	0	//556x45
		TWP_Tar21_mag_30Rnd,		M,		2500,	0
		TWP_Thompson,				W,		8000,	0	//45ACP
		TWP_Thompson_mag_50Rnd,		M,		2500,	0
		TWP_ThompsonMK2,			W,		8000,	0	//45ACP
		TWP_ThompsonMK2_mag_50Rnd,	M,		2500,	0
		TWP_Type64,					W,		8000,	0	//308.win
		TWP_Type64_mag_20Rnd,		M,		2500,	0
		TWP_Type89,					W,		8000,	0	//556x45
		TWP_Type89_mag_30Rnd,		M,		2500,	0
		TWP_XM8,					W,		8000,	0	//556x45
		TWP_XM8_mag_30Rnd,			M,		2500,	0
		TWP_MiniGun,				W,		8000,	0	//308Win
		TWP_MiniGun_mag_300Rnd,		M,		2500,	0
		TWP_G36x,					W,		8000,	0	//556x45
		TWP_G36x_mag_40Rnd,			M,		2500,	0
		TWP_M4A1,					W,		8000,	0	//556x45
		TWP_M4A1_mag_35Rnd,			M,		2500,	0
		TWP_L85A2,					W,		8000,	0	//556x45
		TWP_L85A2_mag_30Rnd,		M,		2500,	0
		TWP_SG556,					W,		8000,	0	//556x45
		TWP_SG556_mag_30Rnd,		M,		2500,	0
		TWP_MG42,					W,		8000,	0	//792x57
		TWP_MG42_mag_150Rnd,		M,		2500,	0
		TWP_CalifasNomad,			W,		8000,	0	//556x45
		TWP_CalifasNomad_mag_40Rnd,	M,		2500,	0
		
	<Category> TeddyWeaponPack:Bayonets
		TWP_BoarBayonet,			*,		1500,	0
		TWP_WolfBayonet,			*,		1500,	0
		TWP_WhiteWolfBayonet,		*,		1500,	0
		TWP_M9A1_Bayonet,			*,		1500,	0
		TWP_M16_Bayonet,			*,		1500,	0
		TWP_Kar98_Bayonet,			*,		1500,	0
		TWP_Arisaka_Bayonet			*,		1500,   0
		
	<Category> TeddyWeaponPack:Ammo
		TWP_AmmoBox_20x76_10rnd,	*,		200,	0
		TWP_AmmoBox_50BMG_10rnd,	*,		200,	0
		TWP_AmmoBox_3006_20Rnd,		*,		200,	0
		TWP_AmmoBox_792x57_20Rnd,	*,		200,	0
		TWP_AmmoBox_44mag_30Rnd,	*,		300,	0
		TWP_AmmoBox_50AE_20Rnd,		*,		200,	0
		TWP_AmmoBox_40SW_30Rnd,		*,		300,	0
		TWP_AmmoBox_46x30_30Rnd,	*,		300,	0
		TWP_AmmoBox_57x28_30Rnd,	*,		300,	0
		TWP_AmmoBox_762x25_30Rnd,	*,		300,	0
		TWP_Ammobox_408Cheytac_10Rnd,	*,	300,	0
		TWP_Ammobox_6x35_20Rnd,		*,		300,	0
		TWP_AmmoBox_30Carbine_30Rnd,	*,	300,	0
		TWP_AmmoBox_300WinMag_20Rnd,	*,	300,	0
		TWP_AmmoBox_20x102mm_10Rnd,		*,	300,	0
		TWP_Ammo_30Carbine,			1,		20,		0
		TWP_Ammo_300WinMag,			1,		20,		0
		TWP_Ammo_20x102mm,			1,		20,		0
		TWP_Ammo_20x76,				1,		20,		0
		TWP_Ammo_50BMG,				1,		20,		0
		TWP_Ammo_3006,				1,		10,		0
		TWP_Ammo_792x57,			1,		10,		0
		TWP_Ammo_44mag,				1,		10,		0
		TWP_Ammo_50AE,				1,		10,		0
		TWP_Ammo_40SW,				1,		10,		0
		TWP_Ammo_46x30,				1,		10,		0
		TWP_Ammo_57x28,				1,		10,		0
		TWP_Ammo_Arrow,				1,		10,		0
		TWP_Ammo_408Cheytac,		1,		10,		0
		TWP_Ammo_762x25,			1,		10,		0
		TWP_Ammo_6x35,				1,		10,		0
	
	<Category> TeddyWeaponPack:Lights
		TWP_MK23Light,				*,		500,	0
		TWP_GlockLight,				*,		500,	0
		TWP_PistolLight,			*,		3000,	0
		TWP_Weaponlight,			*,		5000,	0
		
	<Category> TeddyWeaponPack:Suppressors
		TWP_G3A3_Suppressor,		*,		1500,	0
		TWP_LR300_Suppressor,		*,		1500,	0
		TWP_Carabine_Suppressor,	*,		1500,	0
		TWP_USPPsychodelic_Supressor,		*,		1000,	0
		TWP_USPChromatic_Supressor,	*,		1000,	0
		TWP_M200Old_Suppressor,		*,		1000,	0
		TWP_BarrettM82_Suppressor,	*,		1000,	0
		TWP_Ash12_Suppressor,		*,		1000,	0
		TWP_AKSuppressor,			*,		1000,	0
		TWP_M4Suppressor,			*,		1000,	0
		
	<Category> TeddyWeaponPack:Optics		
		TWP_M16A3_handle,			*,		2000,	0
		TWP_M16A4_handle,			*,		2000,	0
		TWP_Optic_Vlife,			*,		2000,	0
		TWP_Optic_NCSTAR,			*,		2000,	0
		TWP_Optic_Steyr,			*,		2000,	0
		TWP_Optic_Camouflage,		*,		2000,	0
		TWP_Optic_Snowy,			*,		2000,	0
		TWP_Optic_FG42,				*,		2000,	0
		TWP_TrijiconACOG,			*,		2000,	0
		TWP_Optic_reddot,			*,		2000,	0
		TWP_Optic_Redcross,			*,		2000,	0
		TWP_Optic_Acog,				*,		2000,	0
		TWP_LongRangeOptic_Tan,		*,		2000,	0
		TWP_LongRangeOptic_Green,	*,		2000,	0
		TWP_LongRangeOptic_Black,	*,		2000,	0
		TWP_Optic_BlackDragon,		*,		2000,	0
		TWP_OldRifle_Optic,			*,		2000,	0
		TWP_Optic_G3A3,				*,		2000,	0
		TWP_M16A4_handle,			*,		2000,	0
		
	
	<Category> TeddyWeaponPack:Attachments
		TWP_Sling,					*,		1000,	0
		TWP_MarlinHolster,			*,		1000,	0
		
	<Category> TeddyWeaponPack:Halloween
		TWP_Coffin,					M,		15000,	0
		TWP_WitchHat,				*,		2000,	0
		TWP_Scythe,					W,		7500,	0
		TWP_BloodyMachete,			W,		7500,	0
		TWP_JasonMachete,			W,		7500,	0
		TWP_PumpkinHead,			*,		1200,	0
		TWP_JasonMask,				*,		1200,	0
		TWP_PNade,					1,		3000,	0
		TWP_ScaryPNade,				1,		3000,	0
		TWP_GhostBackpack_Angry,	*,		130,	0
		TWP_GhostBackpack_Vampire,	*,		130,	0
		TWP_GhostBackpack_Scared,	*,		130,	0
		TWP_MiniReaper,				*,		130,	0
		
	<Category> TeddyWeaponPack:Covid 
		TWP_CharminBox,				*,		2000,	0
		TWP_Scottex_SuperSoft,		*,		2000,	0
		TWP_Scottex_Soft,			*,		2000,	0
		TWP_Covid19Head_Red,		*,		1200,	0
		TWP_Covid19Head_green,		*,		1200,	0
		TWP_Covid19Head_orange,		*,		1200,	0
		TWP_Covid19Head_yellow,		*,		1200,	0
		TWP_Desinfectant,			*,		5000,	0
		TWP_ToiletRoll,				2,		3000,	0
		TWP_SurgicalMask,			*,		1500,	0
		
	
	<Category> TeddyWeaponPack:Grenades
		TWP_JackintheBox,				1,		2000,	0
		TWP_Stielhandgranate,			1,		2000,	0
		TWP_HolyGrenade,				1,		2000,	0
		TWP_MK2_Grenade,				1,		2000,	0
		
	<Category> TeddyWeaponPack:Melee
		TWP_NailedBat,					W,		7500,	0
		TWP_SawBat,						W,		7500,	0
		TWP_Mjolnir,					W,		7500,	0
		TWP_Rose,						W,		7500,	0
		TWP_Kukri,						W,		7500,	0
		TWP_Kukri_Gradient,				W,		7500,	0
		TWP_Kukri_Sakura,				W,		7500,	0
		TWP_Kukri_Engraved,				W,		7500,	0
		TWP_SmithWesson_Knife_Green,	W,		7500,	0
		TWP_SmithWesson_Knife_Black,	W,		7500,	0
		TWP_HolyMakarel,				W,		7500,	0
		TWP_NinjaSword,					W,		7500,	0
		TWP_Axe,						W,		7500,	0
		TWP_FirefighterAxe,				W,		7500,	0
		TWP_SledgeHammer,				W,		7500,	0
		
	<Category> TeddyWeaponPack:Cosmetics
		TWP_Cosmetic_Beaver,		*,		1000,	0
		TWP_Cosmetic_BodyMale,		*,		1000,	0
		TWP_Cosmetic_BodyFemale,	*,		1000,	0
		TWP_Cosmetic_Cobra,			*,		1000,	0
		TWP_Cosmetic_DeadFace,		*,		1000,	0
		TWP_Cosmetic_DemonSkull,	*,		1000,	0
		TWP_Cosmetic_Dice,			*,		1000,	0
		TWP_Cosmetic_Dino,			*,		1000,	0
		TWP_Cosmetic_Heart,			*,		1000,	0
		TWP_Cosmetic_Mushroom,		*,		1000,	0
		TWP_Cosmetic_Neversoft,		*,		1000,	0
		TWP_Cosmetic_Orion,			*,		1000,	0
		TWP_Cosmetic_Peacekeeper,	*,		1000,	0
		TWP_Cosmetic_PX,			*,		1000,	0
		TWP_Cosmetic_Flag,			*,		1000,	0
		TWP_Cosmetic_Ronnie,		*,		1000,	0
		TWP_Cosmetic_Sandwich,		*,		1000,	0
		TWP_Cosmetic_Scorpion,		*,		1000,	0
		TWP_Cosmetic_CactusJack,	*,		1000,	0
		TWP_Cosmetic_ShockSentry,	*,		1000,	0
		TWP_Cosmetic_Smuggypuss,	*,		1000,	0
		TWP_Cosmetic_Snowman,		*,		1000,	0
		TWP_Cosmetic_TeaBag,		*,		1000,	0
		TWP_Cosmetic_TeddyBear,		*,		1000,	0
		TWP_Cosmetic_Tiki,			*,		1000,	0
		TWP_Cosmetic_Trashcan,		*,		1000,	0
		TWP_Cosmetic_Turbo,			*,		1000,	0
		TWP_Cosmetic_Zombiehead,	*,		1000,	0
